content_id,views
0,2
2,17
3,17
4,14
5,15
6,12
7,8
8,2
9,19
10,6
11,6
12,8
13,2
14,13
15,9
16,11
17,12
18,7
19,17
20,7
21,15
22,10
23,16
24,18
25,11
26,10
27,5
28,18
29,7
30,7
31,18
32,16
33,14
34,10
35,10
36,6
37,17
38,10
39,12
40,11
41,17
42,8
43,2
44,15
45,16
46,9
47,20
48,16
49,22
50,14
51,10
52,11
53,14
54,4
55,14
56,8
57,12
58,14
59,13
60,12
61,9
62,2
63,7
64,19
65,5
66,15
68,1
69,3
70,1
72,1
73,3
74,1
75,15
76,8
77,7
79,1
80,1
81,5
82,6
83,6
85,1
86,18
88,1
90,1
91,15
92,2
98,2
99,2
104,4
105,1
107,1
109,1
113,2
114,1
115,8
116,1
117,1
118,1
119,2
120,1
121,5
122,1
124,1
125,2
126,1
127,1
128,3
129,2
130,2
131,1
132,1
133,3
134,8
135,9
136,1
138,6
139,15
141,2
142,1
143,2
144,7
145,3
146,5
147,4
148,15
150,7
151,4
152,13
153,1
154,1
155,2
156,2
157,2
158,1
159,2
161,5
162,1
163,8
164,5
166,2
167,1
168,2
169,2
170,3
171,3
173,6
174,6
175,12
179,3
181,2
182,2
183,14
184,9
185,7
186,1
189,2
193,2
194,2
197,1
198,2
200,1
201,5
202,6
203,3
204,3
205,10
206,4
207,1
208,5
209,1
210,2
211,15
212,9
213,3
214,4
215,3
216,4
217,18
218,25
219,5
222,1
223,3
224,3
225,7
226,6
227,15
232,2
233,5
234,7
235,3
236,7
237,9
238,5
243,3
244,2
245,4
246,21
247,6
248,1
249,2
250,1
251,4
252,7
253,9
254,1
255,3
256,1
257,8
258,9
261,8
262,7
263,1
264,7
269,14
270,5
272,1
273,14
274,2
275,2
276,4
277,2
278,4
279,2
280,4
281,2
284,1
285,8
286,11
287,8
288,4
289,1
290,3
291,2
292,4
293,11
294,6
295,14
297,1
298,2
300,2
304,2
305,1
306,5
307,5
308,5
309,1
310,1
311,1
313,5
314,4
315,2
316,5
319,14
320,1
323,6
324,8
325,2
326,6
327,2
328,2
330,1
332,1
333,8
334,12
335,3
336,8
337,1
340,1
341,10
342,7
346,7
347,5
348,1
349,1
350,1
354,1
356,8
357,4
360,1
367,1
372,1
373,1
374,12
387,1
391,2
393,2
395,1
397,1
400,1
403,1
406,4
407,3
408,1
409,1
410,3
411,2
412,10
413,1
416,1
417,1
421,2
422,7
423,11
424,6
426,1
427,3
428,7
429,1
432,1
433,15
434,4
435,14
436,1
438,3
439,7
440,1
441,6
442,1
444,1
445,2
446,4
447,3
448,4
449,1
450,15
461,3
462,21
463,12
464,3
465,2
467,1
468,2
469,1
473,5
475,3
479,2
480,2
481,2
482,1
484,1
487,1
489,1
490,2
491,4
493,1
494,1
495,2
496,11
497,6
498,2
499,4
500,8
501,7
505,1
506,7
507,5
508,7
509,8
510,5
511,5
514,15
527,2
528,1
529,4
531,3
533,2
534,3
535,2
536,1
538,1
539,3
540,1
541,18
542,5
543,10
544,8
545,7
548,1
549,1
551,5
552,10
554,1
556,2
557,1
559,1
560,1
561,1
562,1
563,1
565,7
566,6
567,4
568,12
569,4
570,7
571,3
572,3
573,5
574,16
575,17
576,1
579,1
580,2
581,1
582,7
583,3
585,2
586,3
587,4
589,2
592,2
593,1
594,5
599,1
601,13
602,43
604,1
605,2
608,1
610,1
611,1
613,2
614,1
615,2
618,1
625,1
629,1
635,1
636,1
638,1
639,1
641,3
642,3
643,4
645,1
653,2
655,1
656,1
659,1
665,6
667,5
668,3
669,7
670,5
673,1
674,1
675,2
677,1
679,1
682,1
683,2
685,2
687,1
689,1
692,1
693,5
694,6
698,4
699,12
700,1
701,1
702,2
703,1
704,2
705,2
706,10
707,3
712,1
717,1
718,1
719,7
720,5
721,3
722,4
723,5
724,2
725,1
728,1
731,1
732,2
734,1
736,1
737,9
738,1
739,1
741,2
742,2
745,1
746,1
747,4
749,1
751,10
752,7
753,6
754,1
755,1
756,13
759,2
760,1
762,1
763,1
768,2
771,2
772,5
773,8
774,9
777,1
778,20
779,4
782,1
788,1
791,1
792,13
794,1
800,1
802,2
804,1
805,1
807,1
808,2
809,3
811,1
812,1
814,5
