content_id,likes
28,1
38,1
53,1
56,1
64,1
211,1
218,1
671,3
672,1
675,2
676,1
677,2
683,1
685,1
698,1
1121,1
1260,1
1263,1
1269,1
1271,1
1805,1
1877,1
1962,1
1963,1
1975,1
1988,1
1997,1
2005,1
2014,1
2177,1
2972,1
3350,1
3368,1
3382,1
3383,1
3684,1
3790,1
3936,1
4090,1
4099,1
4105,1
4113,1
4115,1
4158,1
4220,1
4671,1
4684,2
4693,1
4703,1
4732,1
4749,1
4767,1
4773,1
4787,1
5222,3
5233,4
5240,1
5241,1
5252,1
5270,2
5274,1
5683,1
5718,1
5723,1
5727,1
6058,1
6077,1
6102,2
6154,2
6208,1
6245,1
6310,1
6380,1
6386,1
6409,1
6422,1
6430,1
6434,1
6439,1
6440,1
6484,1
6511,1
6663,1
6803,1
7043,1
7074,1
7079,1
7921,1
7985,2
8013,1
8017,1
8428,2
8449,1
8576,1
8872,1
9143,1
9161,1
9168,1
9173,1
9203,1
9215,1
9259,1
9348,1
9848,4
9890,6
9986,1
10188,1
10263,1
10314,1
10415,1
10546,1
10584,1
10669,1
10744,2
10745,1
10747,1
10784,1
10834,1
10835,1
10937,1
10953,8
10967,1
11348,1
11590,1
11863,1
11937,1
12240,1
12244,1
12341,1
12512,1
12589,1
12602,2
12614,3
12853,1
12910,1
12939,2
12987,2
13034,3
13073,1
13112,2
13162,1
13268,1
13354,1
13381,1
13421,1
13444,1
13446,1
13489,2
13506,1
13507,1
13509,1
13544,1
13880,2
13899,1
13910,1
13997,1
14017,2
14022,1
14024,1
14051,1
14052,1
14097,1
14105,1
14110,1
14168,1
14199,1
14207,2
14273,1
14516,1
14624,1
14755,1
14853,1
15074,1
15117,1
15191,1
15192,1
15412,2
15422,1
15443,1
15473,1
15725,1
15883,1
15935,1
15937,1
16095,1
16203,1
16409,1
16484,1
16722,1
16847,1
16857,1
16963,1
17143,1
17393,1
17460,1
17532,1
17607,1
17697,1
17880,1
17913,1
17967,1
17991,1
18202,1
18214,1
18341,1
18424,1
18454,1
18502,1
18522,1
18728,1
18739,1
18834,1
18920,1
18926,1
19044,2
19046,1
19056,1
19125,3
19127,1
19128,1
19270,1
19440,1
19480,1
19505,1
19567,1
19581,1
19639,1
19680,1
19740,1
19846,1
19870,1
19872,1
19987,1
20013,1
20078,1
20164,1
20221,1
20226,2
20328,1
20344,1
20438,1
20448,1
20475,3
20477,5
20489,1
20494,1
20509,1
20685,1
20750,1
20821,1
20848,1
20894,1
20972,1
20982,1
20998,1
21000,1
21004,1
21043,1
21109,1
21138,1
21190,1
21198,1
21211,1
21242,1
21268,1
21287,1
21295,1
21344,2
21351,1
21378,1
21441,1
21453,1
21505,1
21607,2
21619,1
21631,1
21663,1
21809,2
21854,1
21861,1
21959,1
21964,1
21965,1
21972,1
21975,2
21983,1
21984,1
22235,1
22242,1
22312,1
22397,1
22406,1
22575,1
22659,1
22737,1
22811,1
22922,2
23060,1
23213,1
23273,1
23368,1
23369,2
23444,2
23473,1
23516,2
23537,1
23562,1
23575,2
23687,1
23688,1
23695,2
23697,1
23714,1
23719,1
23739,1
23750,1
23753,4
23760,1
23765,1
23768,1
23770,2
23786,1
23849,1
23879,1
23899,1
23952,2
23998,1
24006,2
24022,9
24035,10
24044,1
24073,1
24119,1
24120,1
24131,5
24137,1
24144,1
24147,1
24187,2
24231,1
24316,1
24322,2
24334,1
24359,1
24371,1
24377,1
24384,2
24486,1
24489,1
24541,21
24544,1
24552,1
24555,1
24596,1
24694,1
24696,1
24697,1
24730,1
24732,2
24733,1
24776,1
24982,1
24993,1
25023,1
25026,1
25042,1
25072,1
25081,1
25138,1
25156,1
25157,1
25159,2
25349,1
25367,1
25396,1
25431,1
25517,1
25544,1
25547,1
25571,1
25650,2
25654,1
25666,2
25694,1
25712,3
25746,1
25748,1
25805,1
25819,1
25873,1
25952,1
26028,1
26062,1
26066,1
26098,1
26103,1
26106,1
26119,1
26146,1
26168,1
26256,1
26287,1
26347,1
